area_name,month,land_price_index,population,foot_traffic,new_business_count,event_count
三島,2023-04,99.2,108051,24922,0,0
三島,2023-05,100.0,107986,22110,1,2
三島,2023-06,100.1,108024,22350,3,3
三島,2023-07,100.6,107916,21507,2,2
三島,2023-08,100.5,107980,16856,3,4
三島,2023-09,100.0,107988,20304,5,1
三島,2023-10,100.5,107951,21142,1,2
三島,2023-11,100.7,107909,23521,0,1
三島,2023-12,100.3,107867,24152,6,2
三島,2024-01,99.8,107925,18867,3,1
三島,2024-02,100.4,107900,19495,2,5
三島,2024-03,100.3,107839,22895,0,4
三島,2024-04,99.5,107806,22004,5,5
三島,2024-05,100.9,107863,19172,0,2
三島,2024-06,100.5,107866,17393,2,4
三島,2024-07,100.2,107772,16879,2,3
三島,2024-08,100.2,107867,22171,1,7
三島,2024-09,100.5,107833,18115,1,3
三島,2024-10,100.6,107657,22084,4,3
三島,2024-11,100.9,107728,18819,2,4
三島,2024-12,101.1,107656,23979,3,1
三島,2025-01,100.9,107810,18811,2,4
三島,2025-02,100.6,107627,23380,0,2
三島,2025-03,100.8,107727,19623,4,1
三島,2025-04,101.6,107568,26492,4,5
三島,2025-05,100.7,107604,23643,0,4
三島,2025-06,100.1,107583,19541,2,4
三島,2025-07,101.9,107601,19221,5,0
三島,2025-08,101.1,107590,29209,4,3
三島,2025-09,101.6,107511,18535,0,1
三島,2025-10,100.8,107504,22846,1,6
三島,2025-11,101.6,107528,19779,2,2
三島,2025-12,101.3,107561,23955,5,1
三島,2026-01,101.6,107450,21008,2,1
三島,2026-02,101.8,107489,19587,1,8
三島,2026-03,101.0,107454,19397,0,6
沼津,2023-04,101.4,184058,17810,1,0
沼津,2023-05,101.1,184036,19954,2,0
沼津,2023-06,102.0,184096,11799,2,1
沼津,2023-07,100.8,184108,12830,4,1
沼津,2023-08,101.0,184036,18296,2,0
沼津,2023-09,102.1,183971,18001,2,0
沼津,2023-10,100.9,183905,16926,2,0
沼津,2023-11,101.1,183894,17857,2,0
沼津,2023-12,102.3,184089,15255,5,3
沼津,2024-01,102.1,183841,14865,0,0
沼津,2024-02,101.0,183806,16549,4,2
沼津,2024-03,101.3,183790,15896,2,2
沼津,2024-04,102.4,183787,21200,2,0
沼津,2024-05,101.9,183724,16197,4,0
沼津,2024-06,102.5,183697,17284,3,1
沼津,2024-07,102.5,183673,15518,2,1
沼津,2024-08,101.9,183640,14917,6,0
沼津,2024-09,101.9,183649,18921,4,0
沼津,2024-10,101.9,183746,13893,2,2
沼津,2024-11,102.1,183657,10693,1,0
沼津,2024-12,102.2,183626,17940,1,0
沼津,2025-01,103.1,183441,13033,3,0
沼津,2025-02,102.5,183487,18129,6,1
沼津,2025-03,102.6,183475,13857,2,0
沼津,2025-04,102.5,183560,20566,1,1
沼津,2025-05,102.6,183459,20299,2,3
沼津,2025-06,103.1,183394,13369,1,0
沼津,2025-07,101.9,183415,12388,1,0
沼津,2025-08,102.6,183328,19981,1,2
沼津,2025-09,102.8,183378,13107,1,2
沼津,2025-10,103.2,183412,15421,1,1
沼津,2025-11,102.2,183280,16923,2,1
沼津,2025-12,102.6,183290,15354,0,1
沼津,2026-01,102.5,183225,14826,3,1
沼津,2026-02,101.5,183254,16131,1,0
沼津,2026-03,102.9,183191,13559,1,2
函南,2023-04,102.8,36633,18555,1,0
函南,2023-05,103.3,36630,16257,1,0
函南,2023-06,103.4,36628,13313,2,0
函南,2023-07,103.1,36627,13363,2,0
函南,2023-08,103.9,36669,17338,3,0
函南,2023-09,103.8,36691,15245,3,0
函南,2023-10,103.9,36573,16446,1,1
函南,2023-11,102.9,36565,16237,2,2
函南,2023-12,102.7,36603,22653,0,2
函南,2024-01,103.5,36556,16031,5,0
函南,2024-02,103.2,36501,12733,1,0
函南,2024-03,102.9,36593,13688,3,0
函南,2024-04,103.4,36543,19214,3,1
函南,2024-05,103.6,36576,18189,2,1
函南,2024-06,103.6,36585,16353,3,1
函南,2024-07,103.3,36542,16693,3,0
函南,2024-08,103.6,36577,19234,2,2
函南,2024-09,103.3,36670,15290,0,1
函南,2024-10,103.9,36490,16259,2,1
函南,2024-11,103.5,36576,12481,2,0
函南,2024-12,103.5,36535,14919,1,2
函南,2025-01,103.8,36537,13724,2,1
函南,2025-02,104.7,36626,15341,4,3
函南,2025-03,103.4,36529,13473,5,0
函南,2025-04,104.0,36414,18099,1,1
函南,2025-05,103.9,36444,16284,0,1
函南,2025-06,103.9,36439,13714,2,0
函南,2025-07,103.9,36558,15767,2,1
函南,2025-08,104.7,36436,19413,3,1
函南,2025-09,103.7,36494,13922,3,1
函南,2025-10,103.8,36551,15630,0,1
函南,2025-11,104.1,36418,17705,2,1
函南,2025-12,103.8,36455,16545,4,1
函南,2026-01,104.7,36520,16920,2,1
函南,2026-02,104.8,36422,18595,1,1
函南,2026-03,104.8,36411,16798,3,1
