schedule_id,project_id,milestone,expected_amount_kpy,actual_amount_kpy,deposit_month,actual_deposit_date,status
CSH-00001,PRJ-0001,前払金,162325,162325.0,2023-12,2023-12-16,入金済
CSH-00002,PRJ-0001,中間金,81162,81162.0,2024-05,2024-05-15,入金済
CSH-00003,PRJ-0001,完成金,162325,162325.0,2025-01,2025-01-12,入金済
CSH-00004,PRJ-0002,前払金,298157,298157.0,2024-07,2024-07-08,入金済
CSH-00005,PRJ-0002,中間金,149078,149078.0,2025-06,2025-06-09,入金済
CSH-00006,PRJ-0002,完成金,298157,298157.0,2026-07,2026-07-06,入金済
CSH-00007,PRJ-0003,前払金,79286,79286.0,2024-09,2024-10-03,入金済
CSH-00008,PRJ-0003,中間金,39643,39643.0,2025-02,2025-02-28,入金済
CSH-00009,PRJ-0003,完成金,79286,79286.0,2025-10,2025-11-04,入金済
CSH-00010,PRJ-0004,前払金,42071,42071.0,2024-08,2024-08-08,入金済
CSH-00011,PRJ-0004,中間金,21035,21035.0,2025-01,2025-01-08,入金済
CSH-00012,PRJ-0004,完成金,42071,42071.0,2025-09,2025-09-02,入金済
CSH-00013,PRJ-0005,前払金,365455,365455.0,2024-04,2024-04-18,入金済
CSH-00014,PRJ-0005,中間金,182727,182727.0,2024-12,2024-12-16,入金済
CSH-00015,PRJ-0005,完成金,365455,365455.0,2025-11,2025-11-12,入金済
CSH-00016,PRJ-0006,前払金,24103,24103.0,2023-08,2023-08-02,入金済
CSH-00017,PRJ-0006,中間金,12051,12051.0,2023-11,2023-11-03,入金済
CSH-00018,PRJ-0006,完成金,24103,24103.0,2024-05,2024-05-07,入金済
CSH-00019,PRJ-0007,前払金,501476,501476.0,2025-08,2025-08-04,入金済
CSH-00020,PRJ-0007,中間金,250738,250738.0,2026-02,2026-02-03,入金済
CSH-00021,PRJ-0007,完成金,501476,,2026-10,,予定
CSH-00022,PRJ-0008,前払金,135612,135612.0,2023-07,2023-07-19,入金済
CSH-00023,PRJ-0008,中間金,67806,67806.0,2024-03,2024-03-19,入金済
CSH-00024,PRJ-0008,完成金,135612,135612.0,2025-01,2025-01-18,入金済
CSH-00025,PRJ-0009,前払金,265983,265983.0,2023-06,2023-06-19,入金済
CSH-00026,PRJ-0009,中間金,132991,132991.0,2023-09,2023-09-17,入金済
CSH-00027,PRJ-0009,完成金,265983,265983.0,2024-02,2024-02-19,入金済
CSH-00028,PRJ-0010,前払金,252504,252504.0,2024-05,2024-05-24,入金済
CSH-00029,PRJ-0010,中間金,126252,126252.0,2024-08,2024-08-27,入金済
CSH-00030,PRJ-0010,完成金,252504,252504.0,2025-02,2025-02-23,入金済
CSH-00031,PRJ-0011,前払金,183780,183780.0,2024-05,2024-05-13,入金済
CSH-00032,PRJ-0011,中間金,91890,91890.0,2024-09,2024-09-10,入金済
CSH-00033,PRJ-0011,完成金,183780,183780.0,2025-04,2025-04-18,入金済
CSH-00034,PRJ-0012,前払金,280168,280168.0,2025-01,2025-01-19,入金済
CSH-00035,PRJ-0012,中間金,140084,140084.0,2025-04,2025-04-17,入金済
CSH-00036,PRJ-0012,完成金,280168,280168.0,2025-09,2025-09-15,入金済
CSH-00037,PRJ-0013,前払金,95876,95876.0,2024-02,2024-02-03,入金済
CSH-00038,PRJ-0013,中間金,47938,47938.0,2024-10,2024-10-02,入金済
CSH-00039,PRJ-0013,完成金,95876,95876.0,2025-08,2025-07-30,入金済
CSH-00040,PRJ-0014,前払金,245117,245117.0,2025-08,2025-08-19,入金済
CSH-00041,PRJ-0014,中間金,122558,122558.0,2026-01,2026-01-15,入金済
CSH-00042,PRJ-0014,完成金,245117,,2026-09,,予定
CSH-00043,PRJ-0015,前払金,250866,250866.0,2023-12,2023-12-02,入金済
CSH-00044,PRJ-0015,中間金,125433,125433.0,2024-03,2024-02-28,入金済
CSH-00045,PRJ-0015,完成金,250866,250866.0,2024-08,2024-08-03,入金済
CSH-00046,PRJ-0016,前払金,50250,50250.0,2025-10,2025-10-24,入金済
CSH-00047,PRJ-0016,中間金,25125,25125.0,2026-06,2026-06-27,入金済
CSH-00048,PRJ-0016,完成金,50250,,2027-04,,予定
CSH-00049,PRJ-0017,前払金,414328,414328.0,2025-06,2025-06-01,入金済
CSH-00050,PRJ-0017,中間金,207164,207164.0,2025-11,2025-11-04,入金済
CSH-00051,PRJ-0017,完成金,414328,414328.0,2026-07,2026-06-30,入金済
CSH-00052,PRJ-0018,前払金,83758,83758.0,2023-12,2023-12-09,入金済
CSH-00053,PRJ-0018,中間金,41879,41879.0,2024-07,2024-07-14,入金済
CSH-00054,PRJ-0018,完成金,83758,83758.0,2025-05,2025-05-10,入金済
CSH-00055,PRJ-0019,前払金,33067,33067.0,2023-10,2023-10-07,入金済
CSH-00056,PRJ-0019,中間金,16533,16533.0,2024-01,2024-01-03,入金済
CSH-00057,PRJ-0019,完成金,33067,33067.0,2024-07,2024-07-01,入金済
CSH-00058,PRJ-0020,前払金,118336,118336.0,2024-05,2024-05-21,入金済
CSH-00059,PRJ-0020,中間金,59168,59168.0,2025-01,2025-01-29,入金済
CSH-00060,PRJ-0020,完成金,118336,118336.0,2025-11,2025-11-29,入金済
CSH-00061,PRJ-0021,前払金,195286,195286.0,2025-03,2025-03-25,入金済
CSH-00062,PRJ-0021,中間金,97643,97643.0,2025-06,2025-08-07,入金済
CSH-00063,PRJ-0021,完成金,195286,,2025-12,,遅延
CSH-00064,PRJ-0022,前払金,333465,333465.0,2023-10,2023-10-07,入金済
CSH-00065,PRJ-0022,中間金,166732,166732.0,2024-06,2024-06-14,入金済
CSH-00066,PRJ-0022,完成金,333465,333465.0,2025-05,2025-05-07,入金済
CSH-00067,PRJ-0023,前払金,582115,582115.0,2025-06,2025-06-15,入金済
CSH-00068,PRJ-0023,中間金,291057,291057.0,2026-04,2026-04-16,入金済
CSH-00069,PRJ-0023,完成金,582115,,2027-04,,予定
CSH-00070,PRJ-0024,前払金,377009,377009.0,2025-01,2025-01-15,入金済
CSH-00071,PRJ-0024,中間金,188504,188504.0,2025-11,2025-11-14,入金済
CSH-00072,PRJ-0024,完成金,377009,,2026-11,,予定
CSH-00073,PRJ-0025,前払金,53626,53626.0,2026-01,2026-01-04,入金済
CSH-00074,PRJ-0025,中間金,26813,,2026-11,,予定
CSH-00075,PRJ-0025,完成金,53626,,2027-12,,予定
CSH-00076,PRJ-0026,前払金,37186,37186.0,2025-12,2025-12-03,入金済
CSH-00077,PRJ-0026,中間金,18593,18593.0,2026-03,2026-03-12,入金済
CSH-00078,PRJ-0026,完成金,37186,,2026-09,,予定
CSH-00079,PRJ-0027,前払金,499297,499297.0,2025-10,2025-10-13,入金済
CSH-00080,PRJ-0027,中間金,249648,249648.0,2026-03,2026-03-11,入金済
CSH-00081,PRJ-0027,完成金,499297,,2026-11,,予定
CSH-00082,PRJ-0028,前払金,126754,126754.0,2026-01,2026-01-30,入金済
CSH-00083,PRJ-0028,中間金,63377,63377.0,2026-04,2026-04-24,入金済
CSH-00084,PRJ-0028,完成金,126754,,2026-09,,予定
