record_id,project_id,category,amount_kpy,status,accrual_month,payment_due_month,input_timestamp,confirmed_timestamp,vendor_name
CST-00001,PRJ-0139,材料費,65388,確定請求,2024-05,2024-06,2024-05-16T00:00:00,2024-05-17T00:00:00,資材メーカーB
CST-00002,PRJ-0125,外注費,62064,確定請求,2023-08,2023-09,2023-08-12T00:00:00,2023-08-16T00:00:00,協力業者L社
CST-00003,PRJ-0113,材料費,101680,確定請求,2024-12,2025-01,2024-12-04T00:00:00,2024-12-06T00:00:00,協力業者A社
CST-00004,PRJ-0199,材料費,33604,現場見込み,2025-02,2025-03,2025-02-19T00:00:00,,協力業者E社
CST-00005,PRJ-0106,外注費,19597,確定請求,2027-05,2027-06,2027-05-20T00:00:00,2027-05-23T00:00:00,協力業者D社
CST-00006,PRJ-0143,労務費,26607,確定請求,2024-11,2024-12,2024-11-13T00:00:00,2024-11-17T00:00:00,資材メーカーE
CST-00007,PRJ-0082,経費,17944,現場見込み,2025-12,2026-01,2025-12-23T00:00:00,,協力業者D社
CST-00008,PRJ-0160,材料費,5079,確定請求,2026-10,2026-11,2026-10-11T00:00:00,2026-10-11T00:00:00,協力業者H社
CST-00009,PRJ-0097,労務費,35953,確定請求,2025-06,2025-07,2025-07-06T00:00:00,2025-07-08T00:00:00,資材メーカーF
CST-00010,PRJ-0154,労務費,13940,現場見込み,2024-02,2024-03,2024-02-21T00:00:00,,資材メーカーA
CST-00011,PRJ-0108,外注費,66931,確定請求,2023-06,2023-07,2023-07-05T00:00:00,2023-07-08T00:00:00,協力業者P社
CST-00012,PRJ-0024,外注費,148277,現場見込み,2025-04,2025-05,2025-04-11T00:00:00,,協力業者P社
CST-00013,PRJ-0044,労務費,6919,確定請求,2024-05,2024-06,2024-05-24T00:00:00,2024-05-26T00:00:00,資材メーカーI
CST-00014,PRJ-0180,材料費,10229,現場見込み,2026-01,2026-02,2026-01-14T00:00:00,,協力業者C社
CST-00015,PRJ-0178,労務費,98174,口頭発注,2026-07,2026-08,2026-07-27T00:00:00,,協力業者T社
CST-00016,PRJ-0068,材料費,80663,確定請求,2025-10,2025-11,2025-10-12T00:00:00,2025-10-15T00:00:00,資材メーカーC
CST-00017,PRJ-0155,労務費,43803,確定請求,2025-04,2025-05,2025-04-10T00:00:00,2025-04-13T00:00:00,協力業者Q社
CST-00018,PRJ-0160,外注費,4462,口頭発注,2026-10,2026-11,2026-10-10T00:00:00,,協力業者T社
CST-00019,PRJ-0105,外注費,29305,確定請求,2024-01,2024-02,2024-01-22T00:00:00,2024-01-27T00:00:00,資材メーカーF
CST-00020,PRJ-0138,外注費,37755,確定請求,2025-04,2025-05,2025-04-21T00:00:00,2025-04-26T00:00:00,資材メーカーI
CST-00021,PRJ-0175,経費,72760,確定請求,2025-01,2025-02,2025-01-21T00:00:00,2025-01-22T00:00:00,協力業者N社
CST-00022,PRJ-0085,外注費,10741,確定請求,2024-03,2024-04,2024-04-05T00:00:00,2024-04-08T00:00:00,協力業者K社
CST-00023,PRJ-0179,外注費,42907,現場見込み,2026-01,2026-02,2026-01-23T00:00:00,,資材メーカーD
CST-00024,PRJ-0029,外注費,4568,確定請求,2024-08,2024-09,2024-08-08T00:00:00,2024-08-13T00:00:00,協力業者N社
CST-00025,PRJ-0131,経費,3681,現場見込み,2026-04,2026-05,2026-04-26T00:00:00,,協力業者L社
CST-00026,PRJ-0165,外注費,33381,確定請求,2024-08,2024-09,2024-08-21T00:00:00,2024-08-21T00:00:00,資材メーカーJ
CST-00027,PRJ-0167,経費,7159,確定請求,2025-10,2025-11,2025-10-30T00:00:00,2025-10-30T00:00:00,資材メーカーG
CST-00028,PRJ-0195,経費,6382,口頭発注,2027-01,2027-02,2027-01-09T00:00:00,,協力業者D社
CST-00029,PRJ-0053,材料費,95248,確定請求,2024-05,2024-06,2024-05-10T00:00:00,2024-05-14T00:00:00,協力業者R社
CST-00030,PRJ-0008,外注費,18647,現場見込み,2024-05,2024-06,2024-05-24T00:00:00,,資材メーカーB
CST-00031,PRJ-0124,経費,52790,確定請求,2024-09,2024-10,2024-09-12T00:00:00,2024-09-17T00:00:00,協力業者L社
CST-00032,PRJ-0047,外注費,20101,確定請求,2023-06,2023-07,2023-06-14T00:00:00,2023-06-16T00:00:00,協力業者J社
CST-00033,PRJ-0113,外注費,87300,確定請求,2024-12,2025-01,2024-12-26T00:00:00,2024-12-30T00:00:00,協力業者D社
CST-00034,PRJ-0084,労務費,27291,確定請求,2025-01,2025-02,2025-01-09T00:00:00,2025-01-10T00:00:00,協力業者E社
CST-00035,PRJ-0173,経費,14522,確定請求,2024-01,2024-02,2024-01-15T00:00:00,2024-01-17T00:00:00,協力業者L社
CST-00036,PRJ-0063,材料費,85895,確定請求,2024-06,2024-07,2024-06-10T00:00:00,2024-06-14T00:00:00,資材メーカーE
CST-00037,PRJ-0094,材料費,1615,現場見込み,2024-01,2024-02,2024-01-27T00:00:00,,資材メーカーF
CST-00038,PRJ-0114,外注費,20558,現場見込み,2026-01,2026-02,2026-01-25T00:00:00,,資材メーカーE
CST-00039,PRJ-0078,労務費,31453,現場見込み,2025-10,2025-11,2025-11-09T00:00:00,,資材メーカーB
CST-00040,PRJ-0029,経費,9418,確定請求,2023-10,2023-11,2023-10-18T00:00:00,2023-10-18T00:00:00,協力業者T社
CST-00041,PRJ-0117,外注費,81170,確定請求,2024-01,2024-02,2024-01-09T00:00:00,2024-01-11T00:00:00,協力業者I社
CST-00042,PRJ-0054,外注費,25254,現場見込み,2025-01,2025-02,2025-01-13T00:00:00,,協力業者A社
