facility_id,facility_name,month,visitors,revenue_kpy,operating_cost_kpy,operating_profit_kpy
FAC-001,道の駅伊豆ゲートウェイ函南,2023-04,42242,68107,53621,14486
FAC-001,道の駅伊豆ゲートウェイ函南,2023-05,66980,109582,61916,47666
FAC-001,道の駅伊豆ゲートウェイ函南,2023-06,48708,77705,55541,22164
FAC-001,道の駅伊豆ゲートウェイ函南,2023-07,47087,64359,52871,11488
FAC-001,道の駅伊豆ゲートウェイ函南,2023-08,67899,95915,59183,36732
FAC-001,道の駅伊豆ゲートウェイ函南,2023-09,55452,86914,57382,29532
FAC-001,道の駅伊豆ゲートウェイ函南,2023-10,53517,85401,57080,28321
FAC-001,道の駅伊豆ゲートウェイ函南,2023-11,41450,61264,52252,9012
FAC-001,道の駅伊豆ゲートウェイ函南,2023-12,59999,81887,56377,25510
FAC-001,道の駅伊豆ゲートウェイ函南,2024-01,38211,59530,51906,7624
FAC-001,道の駅伊豆ゲートウェイ函南,2024-02,38707,56244,51248,4996
FAC-001,道の駅伊豆ゲートウェイ函南,2024-03,46027,74691,54938,19753
FAC-001,道の駅伊豆ゲートウェイ函南,2024-04,44561,64183,52836,11347
FAC-001,道の駅伊豆ゲートウェイ函南,2024-05,66080,102646,60529,42117
FAC-001,道の駅伊豆ゲートウェイ函南,2024-06,43336,64414,52882,11532
FAC-001,道の駅伊豆ゲートウェイ函南,2024-07,46982,70326,54065,16261
FAC-001,道の駅伊豆ゲートウェイ函南,2024-08,88918,124548,64909,59639
FAC-001,道の駅伊豆ゲートウェイ函南,2024-09,51252,75295,55059,20236
FAC-001,道の駅伊豆ゲートウェイ函南,2024-10,56684,89900,57980,31920
FAC-001,道の駅伊豆ゲートウェイ函南,2024-11,59395,94559,58911,35648
FAC-001,道の駅伊豆ゲートウェイ函南,2024-12,42050,68804,53760,15044
FAC-001,道の駅伊豆ゲートウェイ函南,2025-01,39268,58899,51779,7120
FAC-001,道の駅伊豆ゲートウェイ函南,2025-02,32311,49100,49820,-720
FAC-001,道の駅伊豆ゲートウェイ函南,2025-03,48036,78059,55611,22448
FAC-001,道の駅伊豆ゲートウェイ函南,2025-04,51926,74607,54921,19686
FAC-001,道の駅伊豆ゲートウェイ函南,2025-05,85995,122591,64518,58073
FAC-001,道の駅伊豆ゲートウェイ函南,2025-06,52132,74828,54965,19863
FAC-001,道の駅伊豆ゲートウェイ函南,2025-07,49516,68898,53779,15119
FAC-001,道の駅伊豆ゲートウェイ函南,2025-08,88071,135639,67127,68512
FAC-001,道の駅伊豆ゲートウェイ函南,2025-09,51813,70711,54142,16569
FAC-001,道の駅伊豆ゲートウェイ函南,2025-10,56021,89726,57945,31781
FAC-001,道の駅伊豆ゲートウェイ函南,2025-11,41662,60684,52136,8548
FAC-001,道の駅伊豆ゲートウェイ函南,2025-12,45008,68238,53647,14591
FAC-001,道の駅伊豆ゲートウェイ函南,2026-01,34629,55180,51036,4144
FAC-001,道の駅伊豆ゲートウェイ函南,2026-02,38544,56472,51294,5178
FAC-001,道の駅伊豆ゲートウェイ函南,2026-03,46694,72805,54561,18244
FAC-002,ブルワリーレストラン,2023-04,7698,24424,19884,4540
FAC-002,ブルワリーレストラン,2023-05,9287,29752,20950,8802
FAC-002,ブルワリーレストラン,2023-06,8191,25981,20196,5785
FAC-002,ブルワリーレストラン,2023-07,8312,27394,20478,6916
FAC-002,ブルワリーレストラン,2023-08,6676,20112,19022,1090
FAC-002,ブルワリーレストラン,2023-09,9598,26095,20219,5876
FAC-002,ブルワリーレストラン,2023-10,7773,23117,19623,3494
FAC-002,ブルワリーレストラン,2023-11,6584,18476,18695,-219
FAC-002,ブルワリーレストラン,2023-12,7804,21433,19286,2147
FAC-002,ブルワリーレストラン,2024-01,8981,28808,20761,8047
FAC-002,ブルワリーレストラン,2024-02,8647,25906,20181,5725
FAC-002,ブルワリーレストラン,2024-03,6767,21422,19284,2138
FAC-002,ブルワリーレストラン,2024-04,7639,24368,19873,4495
FAC-002,ブルワリーレストラン,2024-05,9255,25603,20120,5483
FAC-002,ブルワリーレストラン,2024-06,8341,27265,20453,6812
FAC-002,ブルワリーレストラン,2024-07,8529,26157,20231,5926
FAC-002,ブルワリーレストラン,2024-08,7365,21953,19390,2563
FAC-002,ブルワリーレストラン,2024-09,6876,20423,19084,1339
FAC-002,ブルワリーレストラン,2024-10,6673,21642,19328,2314
FAC-002,ブルワリーレストラン,2024-11,7149,22484,19496,2988
FAC-002,ブルワリーレストラン,2024-12,6824,21424,19284,2140
FAC-002,ブルワリーレストラン,2025-01,9292,28988,20797,8191
FAC-002,ブルワリーレストラン,2025-02,8273,25501,20100,5401
FAC-002,ブルワリーレストラン,2025-03,6675,20150,19030,1120
FAC-002,ブルワリーレストラン,2025-04,6825,21284,19256,2028
FAC-002,ブルワリーレストラン,2025-05,8093,26508,20301,6207
FAC-002,ブルワリーレストラン,2025-06,8854,27612,20522,7090
FAC-002,ブルワリーレストラン,2025-07,9178,26059,20211,5848
FAC-002,ブルワリーレストラン,2025-08,6467,19941,18988,953
FAC-002,ブルワリーレストラン,2025-09,7448,22102,19420,2682
FAC-002,ブルワリーレストラン,2025-10,8875,24684,19936,4748
FAC-002,ブルワリーレストラン,2025-11,7103,19405,18881,524
FAC-002,ブルワリーレストラン,2025-12,6742,19127,18825,302
FAC-002,ブルワリーレストラン,2026-01,7075,21069,19213,1856
FAC-002,ブルワリーレストラン,2026-02,8842,24359,19871,4488
FAC-002,ブルワリーレストラン,2026-03,7810,25564,20112,5452
FAC-003,みしま未来研究所,2023-04,1676,837,3167,-2330
FAC-003,みしま未来研究所,2023-05,1641,882,3176,-2294
FAC-003,みしま未来研究所,2023-06,2112,1151,3230,-2079
