property_id,property_name,property_type,location,acquisition_date,acquisition_cost_kpy,current_value_kpy,monthly_rental_income_kpy,occupancy_rate
RE-001,加和太伊豆の国市賃貸マンション B,賃貸マンション,伊豆の国市,2016-01-26,84342,81168,351,91.1
RE-002,加和太沼津市賃貸マンション C,賃貸マンション,沼津市,2016-07-29,105250,95885,438,94.6
RE-003,加和太清水町商業施設 D,商業施設,清水町,2018-08-18,335590,418708,1957,70.0
RE-004,加和太沼津市商業施設 E,商業施設,沼津市,2015-01-28,279154,319536,1628,89.9
RE-005,加和太函南町賃貸マンション A,賃貸マンション,函南町,2019-04-21,154814,154513,645,96.5
RE-006,加和太沼津市賃貸マンション B,賃貸マンション,沼津市,2020-01-04,132278,167541,551,95.0
RE-007,加和太伊豆市オフィス C,オフィス,伊豆市,2017-12-29,419081,494036,2095,94.8
RE-008,加和太函南町オフィス D,オフィス,函南町,2018-05-21,493121,568873,2465,80.1
RE-009,加和太長泉町オフィス E,オフィス,長泉町,2023-02-08,467130,577739,2335,93.3
RE-010,加和太長泉町土地 A,土地,長泉町,2015-02-16,94485,85298,0,0.0
RE-011,加和太函南町賃貸マンション B,賃貸マンション,函南町,2022-05-01,186159,201144,775,90.7
RE-012,加和太函南町賃貸マンション C,賃貸マンション,函南町,2022-10-08,279431,347190,1164,89.7
RE-013,加和太沼津市土地 D,土地,沼津市,2015-09-12,89940,97025,0,0.0
RE-014,加和太伊豆の国市オフィス E,オフィス,伊豆の国市,2016-04-29,383188,360587,1915,84.9
RE-015,加和太清水町賃貸マンション A,賃貸マンション,清水町,2018-06-10,82757,83148,344,88.8
RE-016,加和太沼津市商業施設 B,商業施設,沼津市,2019-07-19,963596,1224402,5620,90.6
RE-017,加和太伊豆の国市オフィス C,オフィス,伊豆の国市,2020-08-20,391151,402853,1955,86.2
RE-018,加和太伊豆の国市オフィス D,オフィス,伊豆の国市,2023-08-20,462157,417616,2310,86.8
RE-019,加和太函南町オフィス E,オフィス,函南町,2022-09-28,214027,261540,1070,80.1
RE-020,加和太三島市商業施設 A,商業施設,三島市,2022-03-01,748168,835306,4364,97.4
RE-021,加和太函南町商業施設 B,商業施設,函南町,2019-02-14,432529,527087,2523,79.2
RE-022,加和太長泉町賃貸マンション C,賃貸マンション,長泉町,2017-06-23,90881,98984,378,86.2
RE-023,加和太沼津市賃貸マンション D,賃貸マンション,沼津市,2016-07-01,213364,204272,889,91.1
RE-024,加和太清水町商業施設 E,商業施設,清水町,2016-09-19,925431,1088216,5398,74.8
RE-025,加和太清水町商業施設 A,商業施設,清水町,2023-05-21,798868,1019868,4660,74.5
