month,product,mrr_kpy,customers,churn_rate_pct,new_customers,expansion_mrr_kpy
2024-04,IMPACT CONSTRUCTION,5358,32,3.12,3,58
2024-05,IMPACT CONSTRUCTION,5300,31,6.45,1,92
2024-06,IMPACT CONSTRUCTION,5588,32,6.25,3,138
2024-07,IMPACT CONSTRUCTION,6270,36,0.0,4,82
2024-08,IMPACT CONSTRUCTION,6728,38,5.26,4,158
2024-09,IMPACT CONSTRUCTION,7270,41,2.44,4,92
2024-10,IMPACT CONSTRUCTION,7811,44,2.27,4,91
2024-11,IMPACT CONSTRUCTION,7929,44,4.55,2,118
2024-12,IMPACT CONSTRUCTION,8308,45,2.22,2,229
2025-01,IMPACT CONSTRUCTION,8488,45,4.44,2,180
2025-02,IMPACT CONSTRUCTION,9629,51,1.96,7,241
2025-03,IMPACT CONSTRUCTION,10200,53,1.89,3,271
2025-04,IMPACT CONSTRUCTION,10482,54,3.7,3,132
2025-05,IMPACT CONSTRUCTION,10684,54,1.85,1,202
2025-06,IMPACT CONSTRUCTION,10921,54,3.7,2,237
2025-07,IMPACT CONSTRUCTION,11431,56,0.0,2,210
2025-08,IMPACT CONSTRUCTION,11780,57,1.75,2,199
2025-09,IMPACT CONSTRUCTION,12583,61,1.64,5,203
2025-10,IMPACT CONSTRUCTION,13011,62,0.0,1,278
2025-11,IMPACT CONSTRUCTION,13618,64,1.56,3,307
2025-12,IMPACT CONSTRUCTION,14678,69,1.45,6,310
2026-01,IMPACT CONSTRUCTION,15276,71,0.0,2,298
2026-02,IMPACT CONSTRUCTION,15561,71,4.23,3,285
2026-03,IMPACT CONSTRUCTION,14997,66,7.58,0,186
2024-04,SCALE,2148,17,5.88,3,48
2024-05,SCALE,2175,17,0.0,0,27
2024-06,SCALE,2237,17,0.0,0,62
2024-07,SCALE,2251,16,6.25,0,64
2024-08,SCALE,2391,18,0.0,2,40
2024-09,SCALE,2369,17,5.88,0,28
2024-10,SCALE,2499,19,0.0,2,30
2024-11,SCALE,2476,18,5.56,0,27
2024-12,SCALE,2546,18,0.0,0,70
2025-01,SCALE,2685,20,0.0,2,39
2025-02,SCALE,2765,21,4.76,2,30
2025-03,SCALE,2784,20,5.0,0,69
2025-04,SCALE,2839,20,0.0,0,55
2025-05,SCALE,2952,21,0.0,1,63
2025-06,SCALE,3105,23,0.0,2,53
2025-07,SCALE,3215,24,4.17,2,60
2025-08,SCALE,3457,27,0.0,3,92
2025-09,SCALE,3499,27,0.0,0,42
2025-10,SCALE,3544,27,0.0,0,45
2025-11,SCALE,3648,27,0.0,0,104
2025-12,SCALE,3787,29,0.0,2,39
2026-01,SCALE,3769,27,7.41,0,82
2026-02,SCALE,3817,26,3.85,0,98
2026-03,SCALE,3939,27,3.7,2,72
